CNTRYID,SEQID,booklet_id,item_id,event_name,event_type,timestamp,event_description
ZA6712_US.data,124,L11,6,stimulus,cba_event,87013,"<cbaloggingmodel:CBAItemLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" name=""de.softcon.cba.runtime.st308balticstock-1278523942"" entryPoint=""C308A120""/> "
ZA6712_US.data,124,L11,6,stimulus,cba_event,103677,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I2"" isSelected=""true""/> "
ZA6712_US.data,124,L11,6,stimulus,cba_event,105035,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I3"" isSelected=""true""/> "
ZA6712_US.data,124,L11,6,taoPIAAC,NEXT_INQUIRY,112001,REQUEST
ZA6712_US.data,124,L11,6,taoPIAAC,NEXT_BUTTON,112001,id=nextInquiry_button
ZA6712_US.data,124,L11,6,taoPIAAC,BUTTON,112003,id=nextInquiry_button
ZA6712_US.data,124,L11,6,taoPIAAC,DOACTION,112003,action=tao_item.nextInquiry
ZA6712_US.data,124,L11,6,stimulus,itemScoreResult,112073,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""false"" nbHits=""0"" hitWeight=""0"" nbMisses=""1"" missWeight=""1"" nbInteractions=""2"">   <missList name=""C308A120M1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I2, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,124,L11,6,stimulus,ItemScore,112073,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""false"" nbHits=""0"" hitWeight=""0"" nbMisses=""1"" missWeight=""1"" nbInteractions=""2"">   <missList name=""C308A120M1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I2, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,124,L11,6,stimulus,SnapshotRef,112073,http://localhost:8080/cba-runtime/item?custom_service_handler=downloadService&file=/usr/local/jboss-web-2.1.2.GA/temp/snapshot7538992241325956687.xml
